start_time,end_time,all_power,screen_power,screen_on_time,screen_off_time,screen_on_discharge,screen_off_discharge
1626533485274,1626534108013,4.064733757292402,0.0,0,622716,0,1
1626534108013,1626535285275,11.74402397704523,0.0,0,1177262,0,3
1626535285275,1626536185616,4.792935518982176,0.0,0,900282,0,2
1626536185616,1626537085203,4.557577242605021,0.0,0,899692,0,1
1626537085203,1626537985395,4.313776780132798,0.0,0,900186,0,1
1626537985395,1626538886238,4.199943149621845,0.0,0,900831,0,1
1626538886238,1626539785164,4.252238167256678,0.0,0,898930,0,1
1626539785164,1626540685197,4.068887100851612,0.0,0,900038,0,1
1626540685197,1626541585219,5.369458891082445,0.0,0,899949,0,2
1626541585219,1626542485393,4.219259061422804,0.0,0,900067,0,1
1626542485393,1626543385188,6.329744541056016,0.0,0,899941,0,1
1626543385188,1626544284178,5.102142803168363,0.0,0,899034,0,2
1626544284178,1626544930319,3.509013261236305,0.0,0,646158,0,0
1626544930319,1626545920119,12.423058560798722,0.0,0,989756,0,3
1626545920119,1626546521127,24.76721632488646,5.536,223408,377616,6,2
1626546521127,1626547690015,6.105292572029612,0.0,0,764008,0,2
1626547690015,1626548543829,8.72027306042196,0.0,0,1244897,0,0
1626548543829,1626549672345,6.995069807925688,0.0,0,1142062,0,2
1626549672345,1626550330282,6.060507944255278,0.0,0,658125,0,3
1626550330282,1626551484946,7.20968523689362,0.0,0,601871,0,2
1626551484946,1626552385089,7.207209199984618,0.0,0,1452995,0,0
1626552385089,1626553286090,4.109094192671137,0.0,0,900981,0,3
1626553286090,1626554185260,7.226465488437725,0.0,0,898967,0,2
1626554185260,1626555085072,4.842353953554948,0.0,0,900039,0,0
1626555085072,1626555985006,3.982172709031829,0.0,0,899935,0,2
1626555985006,1626556885239,4.5157151131043065,0.0,0,900004,0,1
1626556885239,1626557784991,3.959955715489059,0.0,0,899978,0,0
1626557784991,1626558685028,4.646088704914291,0.0,0,900024,0,2
1626558685028,1626559585990,4.373746445325423,0.0,0,900962,0,2
1626559585990,1626560256743,3.776174996726695,0.0,0,670777,0,0
1626560256743,1626561385085,10.986652557287243,0.0,0,1128246,0,4
1626561385085,1626562285172,4.317527455698837,0.0,0,899967,0,1
1626562285172,1626563184956,4.1814100580586455,0.0,0,899977,0,2
1626563184956,1626564085037,4.6202335171087725,0.0,0,900052,0,1
1626564085037,1626564985969,3.9958462513625363,0.0,0,900921,0,1
1626564985969,1626565884974,4.541296078840787,0.0,0,899025,0,1
1626565884974,1626566786245,3.9477437238165294,0.0,0,900990,0,2
1626566786245,1626567684915,4.380701899672658,0.0,0,898972,0,0
1626567684915,1626568585952,4.016566774778767,0.0,0,901034,0,2
1626568585952,1626569485785,4.59873809888586,0.0,0,899785,0,2
1626569485785,1626570384913,4.917550220149678,0.0,0,899171,0,1
1626570384913,1626571285168,4.612944506296799,0.0,0,900024,0,2
1626571285168,1626572184884,4.885306077327414,0.0,0,899946,0,0
1626572184884,1626573085083,4.327344758842173,0.0,0,900020,0,1
1626573085083,1626573985862,3.9847621779274505,0.0,0,900964,0,3
1626573985862,1626574679847,8.80121291187379,0.0,0,693970,0,2
1626574679847,1626575785291,6.544443054790236,0.0,0,1105033,0,2
1626575785291,1626576684254,5.647823887353525,0.0,0,899309,0,2
1626576684254,1626577584839,4.443071330887051,0.0,0,900641,0,1
1626577584839,1626578485866,4.859635290287315,0.0,0,901032,0,2
1626578485866,1626579384781,3.962291061414362,0.0,0,898970,0,1
1626579384781,1626580285830,4.299662052672147,0.0,0,901003,0,0
1626580285830,1626581184806,4.1881913440345215,0.0,0,898977,0,2
1626581184806,1626582085810,4.307118435344364,0.0,0,901000,0,0
1626582085810,1626582985786,3.942174383147176,0.0,0,899978,0,3
1626582985786,1626583885786,4.601344947923508,0.0,0,900017,0,1
1626583885786,1626584784767,4.19706553221954,0.0,0,898995,0,1
1626584784767,1626585685751,4.27799767736542,0.0,0,900978,0,1
1626585685751,1626586584869,3.9467843801016897,0.0,0,898996,0,1
1626586584869,1626587485915,5.247130784299088,0.0,0,901046,0,1
1626587485915,1626588385682,4.317060945323192,0.0,0,899928,0,2
1626588385682,1626589285695,4.373299467956485,0.0,0,900007,0,1
1626589285695,1626590185813,4.751573569651555,0.0,0,899972,0,1
1626590185813,1626591084730,3.9853327059749972,0.0,0,899043,0,1
1626591084730,1626591985679,4.307033549625885,0.0,0,900918,0,1
1626591985679,1626592885023,4.319981729966457,0.0,0,899058,0,1
1626592885023,1626593785736,4.39447610453135,0.0,0,901038,0,2
1626593785736,1626594684677,3.958051744567456,0.0,0,898924,0,0
1626594684677,1626595584667,4.361175812858164,0.0,0,899973,0,1
1626595584667,1626595775886,1.5034459723899545,0.0,0,191132,0,0
1626595775886,1626596485742,11.776988345272684,0.0,0,709848,0,1
1626596485742,1626597384624,5.107604020469125,0.0,0,898989,0,4
1626597384624,1626598285652,4.506290109630299,0.0,0,901033,0,1
1626598285652,1626599184700,5.3914971492017685,0.0,0,899023,0,2
1626599184700,1626600085801,4.333971173821055,0.0,0,900986,0,1
1626600085801,1626600985630,4.67505416921108,0.0,0,899959,0,2
1626600985630,1626601884810,5.024538526753304,0.0,0,898982,0,1
1626601884810,1626602785837,4.432659524354904,0.0,0,900969,0,1
1626602785837,1626603684599,3.98879675261378,0.0,0,899011,0,1
1626603684599,1626604585495,4.3889687859634705,0.0,0,900952,0,1
1626604585495,1626605485841,5.0632928795726,0.0,0,900129,0,0
1626605485841,1626606385545,4.421129296739991,0.0,0,899887,0,1
1626606385545,1626607285807,4.815230707137971,0.0,0,900019,0,1
1626607285807,1626608185534,6.305551025670638,0.0,0,899939,0,3
1626608185534,1626609085563,4.097725916683885,0.0,0,900058,0,0
1626609085563,1626609985548,4.542693943526274,0.0,0,899968,0,3
1626609985548,1626610885552,4.271528372616785,0.0,0,900015,0,1
1626610885552,1626611784522,5.722742201083065,0.0,0,898945,0,2
1626611784522,1626612684497,4.75250991191524,0.0,0,900002,0,1
1626612684497,1626613585493,4.361147968301111,0.0,0,900984,0,1
1626613585493,1626614485527,4.428912167903491,0.0,0,900039,0,2
1626614485527,1626615385395,4.365684002151966,0.0,0,899935,0,0
1626615385395,1626616284741,3.973469418020386,0.0,0,899036,0,2
1626616284741,1626617185479,11.228234443395195,0.0,0,900975,0,4
1626617185479,1626618085686,6.627225794876722,0.0,0,900000,0,2
