RecordId,cname,concept_type,parent_concepts
348,viv.systemApp.PowerOffConfirmation,boolean,viv.core.Confirmation
349,viv.systemApp.PowerOffDevice,enum,
350,viv.systemApp.ActivityName,text,
351,viv.systemApp.NotificationActionResult,structure,viv.systemApp.ActionResult
352,viv.systemApp.PackageName,text,
353,viv.systemApp.ContentForDisplay,structure,
354,viv.systemApp.InstalledAppInformation,structure,
355,viv.systemApp.NotificationCount,integer,
356,viv.systemApp.NotificationContent,text,
357,viv.systemApp.ApplicationName,enum,viv.core.InstalledApplicationName
358,viv.systemApp.VolumePercentage,integer,
359,viv.systemApp.SetVolumeResultCode,enum,
360,viv.systemApp.MediaActionResult,structure,viv.systemApp.ActionResult
361,viv.systemApp.VolumeLevel,integer,
362,viv.systemApp.SetVolumeResult,structure,
363,viv.systemApp.VolumeType,enum,
364,viv.systemApp.VolumeLevelUnit,enum,
365,viv.systemApp.PunchoutResult,structure,
366,viv.systemApp.ErrorDescription,text,
367,viv.systemApp.VolumeLevelType,enum,
368,viv.systemApp.BrightnessLevel,enum,
369,viv.systemApp.ScrollLevel,enum,
370,viv.systemApp.BrightnessPercentage,integer,
371,bixby.launcher.ResultDescription,text,
372,bixby.launcher.ActionResult,structure,
373,bixby.launcher.Uri,text,
374,bixby.launcher.Result,enum,
375,bixby.launcher.ActivityName,text,
376,bixby.launcher.PackageName,text,
377,bixby.launcher.IsMulti,boolean,
378,bixby.launcher.SelectedAll,boolean,
379,bixby.launcher.MultiOption,enum,
380,bixby.launcher.ErrorDescription,text,
381,bixby.launcher.InstalledAppInformation,structure,
382,bixby.launcher.Website,name,
383,bixby.launcher.ApplicationName,PDSS,viv.core.InstalledApplicationName
384,viv.calculator.FollowUpRegex,qualified,
385,viv.calculator.ValidatedExpression,text,
386,viv.calculator.SecondaryTextExpression,text,
387,viv.calculator.RegularExpression,qualified,
388,viv.calculator.IsFollowUp,boolean,
389,viv.calculator.FollowUpOperator,enum,
390,viv.calculator.SecondaryOperator,enum,
391,viv.calculator.RegexStructure,structure,
392,viv.calculator.TextExpression,qualified,
393,viv.calculator.NegativeNumber,decimal,
394,viv.calculator.TTSSpokenResult,text,
395,viv.calculator.KoreanArabConvertedValue,structure,
396,viv.calculator.CalculationUnit,enum,
397,viv.calculator.MixedValueChineseArab,qualified,
398,viv.calculator.MixedValueKoreanArab,qualified,
399,viv.calculator.OutputUnitValue,decimal,
400,viv.calculator.ResultHasError,enum,
401,viv.calculator.PercentageValue,decimal,
402,viv.calculator.IsPlural,boolean,
403,viv.calculator.MeasurementSupport,boolean,
404,viv.calculator.UnknownConstant,name,
405,viv.calculator.ResultUnit,text,
406,viv.calculator.OutputUnitNameTo,enum,
407,viv.calculator.EnglishWordNumber,qualified,
408,viv.calculator.ScientificNumeral,decimal,
409,viv.calculator.NegativeSpecialNumber,boolean,
410,viv.calculator.Fraction,qualified,
411,viv.calculator.SpecialNumber,enum,
412,viv.calculator.UnitValue,decimal,
413,viv.calculator.UnitNoValue,decimal,
414,viv.calculator.ConversionUnitNameFrom,enum,
415,viv.calculator.ScientificOperandOutput,structure,
416,viv.calculator.WholeNumber,integer,
417,viv.calculator.Operator,enum,
418,viv.calculator.Dividend,decimal,
419,viv.calculator.CalculateWord,text,
420,viv.calculator.CurrencyValue,decimal,
421,viv.calculator.ScientificOperator,enum,
422,viv.calculator.Description,text,
423,viv.calculator.Operand,decimal,
424,viv.calculator.Divisor,decimal,
425,viv.calculator.ActionResult,boolean,
426,viv.calculator.NoActionResult,text,
427,viv.calculator.MultiUnitValue,decimal,
428,viv.calculator.Uri,text,
429,viv.calculator.UnitNameFrom,enum,
430,viv.calculator.NumericValue,decimal,
431,viv.calculator.ConversionUnitValue,decimal,
432,viv.calculator.Category,text,
433,viv.calculator.UnicodeMinusPattern,qualified,
434,viv.calculator.Result,decimal,
435,viv.calculator.UnitNameTo,enum,
436,viv.calculator.IsApproximated,boolean,
437,viv.calculator.FrenchInput,text,
438,viv.calculator.TTSText,text,
439,viv.calculator.Expression,text,
440,viv.calculator.TextUnitValue,text,
441,viv.calculator.ExponentValue,decimal,
442,viv.calculator.ResultText,text,
443,viv.calculator.Units,enum,
444,viv.calculator.UnitResultText,text,
