policyname,packagename,mode
GLWL,pl.nenter.app.flashlightgalaxys5,1
GLWL,de.swr.avp.ard,1
GLWL,com.whatstablet.whatstablet,1
GLWL,com.mobilplug.lovetest,1
GLWL,com.marktguru.mg2.de,1
GLWL,telefonica.de.blau,1
GLWL,de.telekom.android.dslhilfe,1
GLWL,ch.threema.app,1
GLWL,com.kvadgroup.photostudio_pro,1
GLWL,com.yandex.browser,1
GLWL,ru.mail.mailapp,1
GLWL,free.zaycev.net,1
GLWL,tv.periscope.android,1
GLWL,ru.mamba.client,1
GLWL,ru.yandex.metro,1
GLWL,jabi.pdd2,1
GLWL,com.droid27.transparentclockweather,1
GLWL,com.ogqcorp.bgh,1
GLWL,com.spbtv.rosing,1
GLWL,org.reactivephone.pdd.lite,1
GLWL,com.drweb.pro,1
GLWL,com.taxsee.taxsee,1
GLWL,ru.farpost.dromfilter,1
GLWL,com.visionobjects.calculator,1
GLWL,ru.litres.android.readfree,1
GLWL,com.icq.mobile.client,1
GLWL,com.infolink.limeiptv,1
GLWL,ru.hh.android,1
GLWL,com.opera.browser,1
GLWL,com.vertaler.ruen,1
GLWL,org.geometerplus.zlibrary.ui.android,1
GLWL,com.antutu.ABenchMark,1
GLWL,com.musicplayer.music,1
GLWL,cn.wps.moffice_eng,1
GLWL,com.rarlab.rar,1
GLWL,ru.yandex.disk,1
GLWL,ru.imult.mult,1
GLWL,com.axidep.polyglotfull,1
GLWL,com.fbreader,1
GLWL,com.studiosol.palcomp3,1
GLWL,mobi.ifunny,1
GLWL,com.mercadolibre,1
GLWL,com.itau,1
GLWL,br.com.brainweb.ifood,1
GLWL,fm.clean,1
GLWL,br.com.vivo.orgarnizer.activities,1
GLWL,br.com.netshoes.app,1
GLWL,com.b2w.americanas,1
GLWL,br.com.techbits.novedigitos,1
GLWL,com.bestweatherfor.bibleoffline_pt_ra,1
GLWL,br.biblia,1
GLWL,com.taxis99,1
GLWL,br.com.sbt.app,1
GLWL,com.studiosol.afinadorlite,1
GLWL,br.com.guiabolso,1
GLWL,com.runtastic.android.pro2,1
GLWL,com.jrzheng.supervpnfree,1
GLWL,com.psiphon3.subscription,1
GLWL,com.chengcheng.FreeVPN,1
GLWL,com.instanza.baba,1
GLWL,com.mobileartsme.spacemanager,1
GLWL,free.vpn.unblock.proxy.vpnmaster,1
GLWL,com.free.supervpn.proxy.unblock.websites,1
GLWL,com.mobileartsme.phoneguard,1
GLWL,us.unbounded.vpn_private,1
GLWL,com.mireo.rtasmartdrive,1
GLWL,com.free.vpn.proxy.unblock.websites,1
GLWL,org.bestworld.vpn_free,1
GLWL,com.uaebarq.uaebarqbundle,1
GLWL,us.ultrasurf.mobile.ultrasurf,1
GLWL,com.bestreview16.psiphonpro,1
GLWL,com.freenet.viobuzzy,1
GLWL,com.aswat.carrefouruae,1
GLWL,com.opera.mini.native.beta,1
GLWL,com.baloota.dumpster,1
GLWL,com.jrummy.root.browserfree,1
GLWL,hotdigitalmedia.startvmovies,1
GLWL,com.careem.acma,1
GLWL,com.Bridge.BridgePlus,1
GLWL,com.hamropatro,1
GLWL,com.juphoon.justalk,1
GLWL,com.englishtourdu.urdutoenglishdictionary,1
GLWL,com.defianttech.diskdiggerpro,1
GLWL,com.badoo.mobile.premium,1
GLWL,fr.r0ro.android.FreeTelec,1
GLWL,com.orange.orangeetmoi,1
GLWL,com.holosfind.showroom,1
GLWL,com.sncf.fusion,1
GLWL,fr.playsoft.teleloisirs,1
GLWL,cdiscount.mobile,1
GLWL,fr.meteo,1
GLWL,com.canal.android.canal,1
GLWL,com.vsct.vsc.mobile.horaireetresa.android,1
GLWL,com.activaweb.matchendirect,1
GLWL,com.sfr.android.moncompte,1
GLWL,com.sfr.android.mobiletv,1
GLWL,com.ldf.gulli.view,1
GLWL,com.sfr.android.redmoncompte,1
GLWL,com.mappy.app,1
GLWL,com.fdj.parionssport,1
GLWL,com.orange.wifiorange,1
GLWL,com.cm_prod.bad,1
GLWL,com.infomil.leclercdrive,1
GLWL,fr.bonial.android,1
GLWL,com.textra,1
GLWL,fr.profilweb.gifi,1
GLWL,tv.molotov.app,1
GLWL,fr.francetv.pluzz,1
GLWL,lequipe.fr,1
GLWL,fr.redshift.nrj,1
GLWL,it.vodafone.my190,1
GLWL,com.ilmeteo.android.ilmeteo,1
GLWL,it.wind.myWind,1
GLWL,it.subito,1
GLWL,it.esselunga.mobile,1
GLWL,it.italiaonline.mail,1
GLWL,net.morettoni.terremoto,1
GLWL,com.samsung.overmob.mygalaxy,1
GLWL,com.gsmdev.simcard,1
GLWL,com.doveconviene.cardplus,1
GLWL,com.finazzi.distquake,1
GLWL,net.infojobs.mobile.android,1
GLWL,it.mediaset.premiumplay,1
GLWL,ru.iptvremote.android.iptv,1
GLWL,com.zentertain.photocollage,1
GLWL,it.nicola.calcioveneto,1
GLWL,com.fotoable.temperature.weather,1
GLWL,it.telecomitalia.calcio,1
GLWL,it.immobiliare.android,1
GLWL,it.itentropy.fswidget,1
GLWL,com.windmill.asap,1
GLWL,io.github.routerkeygen,1
GLWL,com.clue.android,1
GLWL,com.tvplayerlatino,1
GLWL,net.megawave.flashalerts,1
GLWL,an.SpanishTranslate,1
GLWL,telcel.net,1
GLWL,com.anandbibek.notifypro,1
GLWL,jp.gocro.smartnews.android,1
GLWL,jp.co.yahoo.android.weather.type1,1
GLWL,jp.co.yahoo.android.ychiebukuro,1
GLWL,jp.co.yahoo.android.news,1
GLWL,jp.co.yahoo.android.yfiler,1
GLWL,com.cookpad.android.activities,1
GLWL,jp.ameba,1
GLWL,jp.gamewith.monst,1
GLWL,jp.co.comic.mangaone,1
GLWL,jp.co.yahoo.android.yphoto,1
GLWL,jp.co.fablic.fril,1
GLWL,jp.creema.creema_android,1
GLWL,jp.pxv.android.manga,1
GLWL,jp.co.fujixerox.mcopy,1
GLWL,com.streema.simpleradio,1
GLWL,com.bydeluxe.d3.android.program.starz,1
GLWL,com.talkatone.android,1
GLWL,com.google.android.apps.messaging,1
GLWL,com.retale.android,1
GLWL,com.tophatter,1
GLWL,com.fox.now,1
GLWL,com.etsy.android,1
GLWL,com.jcp,1
GLWL,com.handmark.expressweather,1
GLWL,com.scannerradio,1
GLWL,com.google.android.talk,1
GLWL,com.ebates,1
GLWL,com.dailydevotionapp,1
GLWL,com.life360.android.safetymapd,1
GLWL,co.triller.droid,1
GLWL,com.google.android.apps.hangoutsdialer,1
GLWL,com.remotefairy4,1
GLWL,com.herman.ringtone,1
GLWL,ca.crea.realtor,1
GLWL,com.google.android.apps.wallpaper,1
GLWL,ca.cbc.mobile.android.cbcnewsandroidwebview,1
GLWL,com.appxy.tinyscanner,1
GLWL,com.classdojo.android,1
GLWL,com.theappguru.cksw,1
GLWL,org.xbmc.kore,1
GLWL,com.learninga_z.onyourown,1
GLWL,com.podcast.podcasts,1
GLWL,com.teamsnap.teamsnap,1
GLWL,media.music.musicplayer.mp3player,1
GLWL,com.vsco.cam,1
GLWL,com.asus.filemanager,1
GLWL,com.ncix.app.android,1
GLWL,com.google.android.apps.travel.onthego,1
GLWL,com.Slack,1
GLWL,ca.bellmedia.ctvnews,1
GLWL,com.kobobooks.android,1
GLWL,com.fidosolutions.myaccount,1
GLWL,com.asda.android,1
GLWL,com.emedia.mobdroguide,1
GLWL,com.mxdata.tube.Market,1
GLWL,com.asos.app,1
GLWL,com.mobiledevelopment.lazarpesic.capturethemagic,1
GLWL,uk.co.smhw.android,1
GLWL,com.giffgaffmobile.controller,1
GLWL,uk.co.club.costa.costa,1
GLWL,uk.co.telegraph.android,1
GLWL,com.google.android.apps.santatracker,1
GLWL,com.slimmingworld.app,1
GLWL,com.zoopla.activity,1
GLWL,com.imdb.mobile,1
GLWL,com.bskyb.android.skyplus,1
GLWL,com.thisisglobal.player,1
GLWL,com.bskyb.skystore.app,1
GLWL,uk.co.bbc.iplayer.kids,1
GLWL,com.scopeexperts.playmyway2,1
GLWL,com.centrica.android.britishgas,1
GLWL,uk.co.radioplayer,1
GLWL,com.virginmedia.simplewifi,1
GLWL,com.dailymail.online,1
GLWL,com.ticketmaster.mobile.android.uk,1
GLWL,com.yum.colonelsclub,1
GLWL,de.apptiv.business.android.aldi_uk,1
GLWL,com.crazyfacechanger,1
GLWL,com.thisisglobal.player.heart,1
GLWL,com.guardian,1
GLWL,com.livescore,1
GLWL,com.packagefromsanta.videofromsanta,1
GLWL,com.allfootball.news,1
GLWL,com.skybet.super6,1
