_id,MCC,Country_Code,Country_Name,NDD,NANPS,GMT_Offset_Low,GMT_Offset_High,GMT_DST_Low,GMT_DST_High
87,401,7,Kazakhstan,8,0,5.0,6.0,5.0,6.0
88,402,975,Bhutan,,0,6.0,6.0,6.0,6.0
89,404,91,India,0,0,5.5,5.5,5.5,5.5
90,410,92,Pakistan,0,0,5.0,5.0,6.0,6.0
91,412,93,Afghanistan,0,0,4.5,4.5,4.5,4.5
92,413,94,Sri Lanka,0,0,5.5,5.5,5.5,5.5
93,414,95,Myanmar,0,0,6.5,6.5,6.5,6.5
94,415,961,Lebanon,0,0,2.0,2.0,3.0,3.0
95,416,962,Jordan,0,0,2.0,2.0,3.0,3.0
96,417,963,Syria,0,0,2.0,2.0,3.0,3.0
97,418,964,Iraq,0,0,3.0,3.0,3.0,3.0
98,419,965,Kuwait,,0,3.0,3.0,3.0,3.0
99,420,966,Saudi Arabia,0,0,3.0,3.0,3.0,3.0
100,421,967,Yemen,0,0,3.0,3.0,3.0,3.0
101,422,968,Oman,,0,4.0,4.0,4.0,4.0
102,424,971,United Arab Emirates,0,0,4.0,4.0,4.0,4.0
103,425,972,Israel,0,0,2.0,2.0,3.0,3.0
104,426,973,Bahrain,,0,3.0,3.0,3.0,3.0
105,427,974,Qatar,,0,3.0,3.0,3.0,3.0
106,428,976,Mongolia,0,0,7.0,8.0,7.0,8.0
107,429,977,Nepal,0,0,5.75,5.75,5.75,5.75
108,430,971,United Arab Emirates (Abu Dhabi),0,0,4.0,4.0,4.0,4.0
109,431,971,United Arab Emirates (Dubai),0,0,4.0,4.0,4.0,4.0
110,432,98,Iran,0,0,3.5,3.5,4.5,4.5
111,434,998,Uzbekistan,8,0,5.0,5.0,5.0,5.0
112,436,992,Tajikistan,8,0,5.0,5.0,5.0,5.0
