RecordId,cname,concept_type,parent_concepts
327,viv.bixbyVoiceApp.ServiceItem,structure,
328,viv.bixbyVoiceApp.SideKeyDataResult,structure,
329,viv.bixbyVoiceApp.ActionResult,structure,
330,viv.bixbyVoiceApp.OutputResult,structure,
331,viv.bixbyVoiceApp.ChangeStyleResult,structure,
332,viv.bixbyVoiceApp.DefaultServiceCategoryUndefinedResult,structure,viv.bixbyVoiceApp.GetCapsuleDataResult
333,viv.bixbyVoiceApp.FilteredNickname,structure,
334,viv.bixbyVoiceApp.SideKeySettingResult,structure,
335,viv.bixbyVoiceApp.ChangeLanguageResult,structure,
336,viv.bixbyVoiceApp.VoiceStyleResult,structure,
337,viv.bixbyVoiceApp.TurnOnBixbyResult,structure,viv.bixbyVoiceApp.AppLaunchResult
338,viv.bixbyVoiceApp.AppLaunchResult,structure,
339,viv.bixbyVoiceApp.LanguageList,structure,
340,viv.bixbyVoiceApp.ProfileResult,structure,
341,viv.money.MixedValueKoreanArab,qualified,
342,viv.money.Price,structure,viv.money.Currency
343,viv.money.NumericValue,decimal,
344,viv.money.Currency,structure,
345,viv.money.MinPrice,structure,viv.money.Price
346,viv.money.CurrencyCode,enum,
347,viv.money.PrefixSymbol,enum,
348,viv.money.CurrencyType,structure-enum,
349,viv.money.PriceRange,structure,
350,viv.money.MaxPrice,structure,viv.money.Price
351,viv.money.CurrencyCents,integer,
352,viv.money.TargetCurrencyType,structure,
353,viv.money.CurrencyValue,decimal,
354,viv.smartViewApp.DeviceType,enum,
355,viv.smartViewApp.ConnectedState,text,
356,viv.smartViewApp.Uri,text,
357,viv.smartViewApp.DeviceKey,text,
358,viv.smartViewApp.FunctionName,enum,
359,viv.smartViewApp.DeviceDetailType,integer,
360,viv.smartViewApp.Result,enum,
361,viv.smartViewApp.Reason,integer,
362,viv.smartViewApp.PackageName,name,
363,viv.smartViewApp.Phone,enum,
364,viv.smartViewApp.DeviceName,text,
365,viv.smartViewApp.DeviceName,text,
366,viv.smartViewApp.HowToUseResult,structure,
367,viv.smartViewApp.HowToUseResult,structure,
368,viv.smartViewApp.AppResult,structure,
369,viv.smartViewApp.CommonActionResult,structure,
