id,availMem,cached,running,checkTime
249,3538188,2360331,1108350,1621571351171
250,3699212,2131480,1108495,1621585838579
251,4104544,1757702,1096049,1621600925678
252,4095500,1659639,1075204,1621615577351
253,4092748,1651762,1094656,1621630331947
254,4164456,1497280,1109010,1621645306260
255,4136568,1673357,1083275,1621660107459
256,3975328,1953300,1052855,1621674438141
257,4004952,2001359,1071428,1621688960071
258,3993008,1922090,1071692,1621703616479
259,4047940,1829334,1098277,1621719097011
260,3940448,1788690,1095713,1621734236379
261,4079204,1558804,1098305,1621748600685
262,4140244,1582581,1089254,1621763633779
263,3938192,1916001,1134846,1621778148984
264,3649080,1827547,1098122,1621792572774
265,3671348,1947878,1105154,1621807813638
266,3805384,1881222,1093026,1621823163390
267,3769884,1823025,1158277,1621837821555
268,3814392,1944004,1117835,1621852684760
269,3792572,2013959,1148686,1621867159166
270,3219416,2125178,1221228,1621881720735
271,3307792,2031051,1286697,1621896239837
272,3388560,1938284,1285688,1621911473406
273,3369804,1989251,1285688,1621926771367
274,3345352,1970453,1280734,1621942072971
275,3315392,1995843,1294203,1621957370345
276,3188524,2505085,1336146,1621971780206
277,4051536,1419749,1616020,1622046512452
278,4473412,1462582,1040279,1622061050466
279,4425264,1538661,1016371,1622076350299
280,4418844,1478961,1027200,1622091651128
281,4192708,1455428,1411633,1622106589632
282,4434304,1665082,895692,1622121660736
283,4467200,1380342,1055290,1622136650050
284,4282944,1659849,1161791,1622151951695
285,4343700,1813083,921873,1622166669350
286,4385256,1728142,919076,1622181591310
287,4472104,1585682,911266,1622196321117
288,4342268,1793838,942497,1622211674998
289,4375556,1538740,1058222,1622226438144
290,4532972,1033656,1304432,1622240893707
291,4338160,1504651,1271036,1622255501616
292,4192276,1639097,1333808,1622270932481
293,4361624,1523900,1306015,1622286003374
294,4251004,1585792,1310483,1622300587298
295,4391872,1776214,942392,1622316016084
296,4484604,1658517,962457,1622331413865
297,4374588,1706677,1045809,1622346717792
298,4287860,2037864,976817,1622361473648
299,4254420,2030879,950152,1622376350403
300,4283520,1947126,938004,1622391715298
301,4342292,1581800,1134023,1622406440233
302,4293064,1706345,1123394,1622420969128
303,4283624,1692376,1107749,1622435634030
304,4316700,1786968,1099143,1622450455883
305,4271376,2069642,937347,1622465333593
306,4418208,1704982,940286,1622480665564
307,4399432,1805451,963062,1622495574316
308,4352180,1742649,959574,1622510014279
309,4335440,1839821,969535,1622524732050
310,4301480,1848571,959431,1622540119994
311,4266028,1751813,965291,1622555080872
312,4413972,1645433,945064,1622569503681
313,4425016,1456180,1139160,1622583984198
314,4367108,1602059,985382,1622599062112
315,4416268,1441052,1221259,1622613618059
316,4210556,1736324,1056694,1622628243646
317,4341680,1617653,1123072,1622642994749
318,4213324,1859930,1104129,1622657832437
319,4126296,1971913,1108763,1622672254132
320,4125232,1905037,1106827,1622687103332
321,4050640,1903980,1273910,1622701798224
322,3978304,2127644,1103208,1622716615518
323,4116408,1832434,1105219,1622738708600
324,4148364,1760736,1090194,1622753065961
325,4165808,1744528,1101179,1622767628904
326,2952144,2807450,1118212,1622781950073
327,3247592,1954336,1258365,1622796948200
328,3520740,2143828,1117453,1622811599999
329,3545968,1978707,1286714,1622826616681
330,3518220,2000283,1276455,1622841700859
331,3582548,2024908,1126814,1622857170282
332,3738464,1684320,1273746,1622871947029
333,3179444,1439006,2244431,1622886254892
334,3086332,1452390,2382378,1622900671729
335,3359984,1312866,2198110,1622915076000
336,3403848,1645310,1439818,1622930149128
337,3343240,1983970,1412590,1622945374039
338,3411228,1815855,1428799,1622959848910
339,4087660,1073336,2016796,1623012509719
340,3125656,2024474,1367493,1623026928235
341,2914532,2334368,1089206,1623041999915
342,3546308,1486229,1088485,1623057222169
343,3273288,2301390,1111713,1623072522545
344,3237808,2258626,1166018,1623087821531
345,3563292,2405324,1019216,1623102737264
346,3557956,2221504,1014668,1623117522074
347,3421960,2237935,1129005,1623132241160
348,3499712,2431222,1055254,1623147222949
349,3619580,2275770,1046818,1623162522680
350,3644888,2221833,1055001,1623177822494
351,3739540,2150479,1043972,1623193122424
352,3685784,2386680,1040272,1623208422298
353,3615332,2453091,1050688,1623223723156
354,3738520,2222219,1131977,1623239023026
355,3631936,1965575,1166700,1623253735080
356,3515940,1614545,2021488,1623268243929
357,3114800,1036927,2596193,1623282691182
358,3115024,2601405,997038,1623297523547
359,3247248,2639051,974354,1623312823500
360,3391316,2651645,970290,1623328123225
361,4146840,1635830,1370349,1623441211415
362,3775096,1647754,1242163,1623455630288
363,3569096,1765857,1593698,1623470499933
364,3504728,1838337,1350118,1623485029847
365,3593708,1832471,1363903,1623500329786
366,3474224,1806912,1505905,1623515629737
367,3525604,2032062,1464948,1623530636597
368,3547096,1907988,1461542,1623545243484
369,3712648,2128378,1126265,1623559730279
370,3663492,2102641,1327771,1623575030218
371,3544988,2192012,1335519,1623590330044
372,3546764,2166648,1340682,1623605630978
373,3443280,2307720,1158115,1623620175850
374,3665568,1968976,1246325,1623634597516
375,4113524,1356306,1225588,1623649293607
376,4328412,1263472,1211312,1623663779369
377,4134380,1564936,1221599,1623678866179
378,3045796,2477463,1311446,1623693546153
379,3256388,2346681,1241222,1623708531327
380,3426276,2661514,1177530,1623723599125
381,3322164,2278256,1390222,1623738241330
382,3410664,2249353,1306633,1623753530743
383,3325436,2364877,1309137,1623768830524
384,3002984,1995424,1629581,1623783365268
385,3043776,1983541,1610003,1623797930529
386,2971224,2035816,1490561,1623813175540
387,3295900,1980975,1788454,1623827630138
388,3322472,2115848,1628879,1623842930019
389,3457620,2283140,1527301,1623858230687
390,3575492,2152302,1529318,1623872687585
391,3463360,1995731,1540970,1623887630795
392,3263012,2048792,1606562,1623902626384
393,3471112,2063573,1611548,1623917640843
394,3470576,2051891,1626888,1623932931019
395,3482664,1898769,1936748,1623948231077
396,3540136,2074630,1661907,1623963530934
397,3400580,2183605,1661907,1623977959040
398,2583192,2671591,2011913,1623992500461
399,2895692,2462232,1813898,1624007330774
400,2896772,2112461,1824250,1624022040790
401,2639112,1908567,2662526,1624036456545
402,2876784,2202367,2366455,1624050860605
403,2555652,1985884,2823380,1624065277751
404,3049032,2401627,1634222,1624079929601
405,3129668,2330994,1681721,1624095230727
406,3089964,2397281,1706019,1624110530672
407,3041080,2347425,1862025,1624124936664
408,2985872,2737021,1567954,1624140231408
409,2938392,2765814,1576166,1624155531265
410,3093492,2764242,1560010,1624170831031
411,3010200,3086745,1384984,1624186131085
412,2944516,2669619,1845968,1624201348194
413,3090224,2778909,1576608,1624215830738
414,3040488,2858938,1571648,1624231131570
415,3040640,2831259,1624973,1624246430690
416,3851228,1492086,1516669,1624340162528
417,4294676,1224239,1272996,1624354872064
418,4144220,1394336,1279691,1624370247157
419,3978480,1207038,1674421,1624385423039
420,4372924,838464,1177854,1624385820582
421,4444948,1313049,1212361,1624400340737
422,4357212,1235422,1118708,1624414972108
423,4397192,1161169,1115680,1624429953623
424,4656948,1012958,864696,1624444969137
425,4554460,1325809,828438,1624459677664
426,4570976,1093874,1015998,1624474371480
427,4329756,1240079,990757,1624489143555
428,3928672,1549006,1073213,1624503593601
429,4120656,1293798,1072711,1624518472330
430,4277140,1185011,1047071,1624533591187
431,4160428,1263178,1056955,1624548169358
432,4075184,1557188,988567,1624562989286
