key,type,value
/config/path_provider/eviction.v2/1444009522,1,"{""size_config"":{""max_size"":104857600,""max_size_low_space_bytes"":104857600,""max_size_very_low_space_bytes"":104857600,""delete_only_on_init"":false,""is_itemized"":true},""staleness_config"":{""stale_age_s"":259200,""is_itemized"":true},""eviction_type"":""stash"",""cache_name"":""two_phase_states_cache"",""feature_name"":""two_phase_states_cache"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_two_phase_states_cache\/__out_of_scope__""}"
/settings/connection_manager/conn_tracking/29/0,4,0
/settings/connection_manager/conn_tracking/29/3,4,0
/settings/connection_manager/conn_tracking/index,4,30
/settings/connection_manager/conn_tracking/29/2,4,3600000
/settings/connection_manager/conn_tracking/29/1,4,0
/settings/is_presence_enabled_migrated,2,1
/settings/messages/notifications/voip_channel_updated,2,1
/messenger/notification_channel_creation_count,3,7
/settings/messages/notifications/ringtone_uri_v3_in_use,2,1
/messenger/notification/LOGGER_BUFFER_SIZE,3,3
/messenger/notification/LOGGER_BUFFER_HEAD,3,2
/messenger/mqtt/LOGGER_BUFFER_HEAD,3,3
/messenger/mqtt/LOGGER_BUFFER_SIZE,3,4
/app_version/,3,293821968
/interstitial/query_uid,1,4001443503243218
/settings/app_version_name_prev,1,318.0.0.20.123
/settings/app_state/last_first_run_time,4,1625202554367
/settings/app_version_name_current,1,319.0.0.22.170
/settings/analyticsmetainf_fbmeta_version_code,3,301916814
/messenger/override/inappfbns,2,0
/messenger/fcm/token_registration_time,4,1626879476528
/messenger/fcm/last_register_time,4,1626879476527
/messenger/fcm/fb_server_last_register_time,4,1626879546274
/messenger/fcm/token,1,
/messenger/fcm/family_device_id,1,
/messenger/fcm/fb_server_build,3,0
/messenger/fcm/fb_server_registered,2,0
/messenger/fcm/fb_server_device_id,1,
/config/path_provider/user_scope/1444009522,1,"{""is_user_scoped"":true,""keep_data_between_sessions"":false,""userid_in_path"":true,""allow_out_of_scope"":false,""keep_data_on_account_removal"":false,""feature_name"":""two_phase_states_cache"",""user_id"":""__invalid__"",""last_access_time"":1626981939922,""path"":""\/data\/user\/0\/com.facebook.orca\/app_two_phase_states_cache\/__out_of_scope__""}"
/config/path_provider/user_scope/1598825742,1,"{""is_user_scoped"":true,""keep_data_between_sessions"":false,""userid_in_path"":false,""allow_out_of_scope"":false,""keep_data_on_account_removal"":false,""feature_name"":""image"",""user_id"":""__invalid__"",""last_access_time"":1626981939774,""path"":""\/data\/user\/0\/com.facebook.orca\/cache\/image""}"
/settings/dextr/last_remaining_bytes_update_time,4,1626981775
/config/path_provider/user_scope/1361508925,1,"{""is_user_scoped"":true,""keep_data_between_sessions"":false,""userid_in_path"":false,""allow_out_of_scope"":false,""keep_data_on_account_removal"":false,""feature_name"":""image"",""user_id"":""__invalid__"",""last_access_time"":1626981939774,""path"":""\/data\/user\/0\/com.facebook.orca\/app_image""}"
/messenger/fcm/last_change_time,4,1626981940030
