parent_class,child_class,parent_title,child_title
com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Customize menus
com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Fingerprints,Fingerprint unlock
com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,Auto turn on/off,Auto turn on
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Useful features,Get news notifications
com.android.settings.accounts.AccountDashboardFragment,com.android.settings.accounts.AccountDashboardFragment,Manage accounts,Auto sync personal data
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.fuelgauge.InactiveApps,Developer options,Standby apps
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,Supplementary services,Call forwarding
com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Messages settings,Block numbers and messages
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Create note with Pen button
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Show week numbers
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable freeform windows
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Ringtone
com.android.settings.datausage.DataUsageSummary,com.android.settings.datausage.DataUsageSummary,Data usage,Alert me about data usage
com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Resume from suspend
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Real Time Text,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Real Time Text,Real Time Text,Use external TTY keyboard
com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Alert when phone picked up
com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarSettings,Navigation bar,Button position
com.android.settings.accounts.AccountDashboardFragment,com.android.settings.accounts.AccountDashboardFragment,Manage accounts,Auto sync business data
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.Usefulfeature,Advanced features,Dual Messenger
com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Wireless emergency alerts
com.android.settings.notification.zen.ZenModeSoundVibrationSettings,com.android.settings.notification.zen.ZenModeSoundVibrationSettings,Alarms and sounds,Alarms
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.appops.BackgroundCheckSummary,Developer options,Background check
com.sec.android.app.soundalive.SAControlPanelActivity,com.sec.android.app.soundalive.SAControlPanelActivity,Sound quality and effects,Karaoke mode
com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Enable node tree debugging
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Voicemail
com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,com.samsung.android.messaging.ui.view.setting.mms.MultimediaMessagesSettingActivity,Multimedia messages,Auto retrieve while roaming
com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,New features in TalkBack
com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Developer settings
com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Sound and vibration
com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,com.samsung.android.honeyboard.settings.chineseinputoptions.ChineseInputOptions,Chinese input options,Cloud input by Sogou
com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Lock when wrong face detected
com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Mute with gestures
com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.swipe.KeyboardSwipeSettings,Keyboard swipe controls,No swipe gestures
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.samsung.android.settings.development.performance.PerfTuneDashboard,Developer options,Performance Tune
com.samsung.android.settings.deviceinfo.BatteryInfoSettings,com.samsung.android.settings.deviceinfo.BatteryInfoSettings,Battery information,Battery capacity
com.android.settings.DisplaySettings,com.android.settings.DisplaySettings,Display,Night-time keyboard mode
com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,External storage transfer
com.samsung.android.settings.usefulfeature.FunctionKeySettings,com.samsung.android.settings.usefulfeature.FunctionKeySettings,Side key,Press and hold
com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.inputmethod.SpellCheckersSettings,General management,Spell checker for work
com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.BadgeAppIconSettings,Advanced settings,App icon badges
com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,com.samsung.android.settings.datausage.trafficmanager.ui.DataSaverSummaryCHN,Restrict background data,Turn on now
com.android.settings.datetime.DateTimeSettings,com.android.settings.datetime.DateTimeSettings,Date and time,Automatic time zone
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Adaptive notification priority
com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,Back up data
com.android.settings.DisplaySettings,com.samsung.android.settings.display.ScreenResolutionFragment,Display,Screen resolution
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Enable freeform sizecompat
com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.OtherSecuritySettings,Other security settings,Security policy updates
com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.TouchPadGesturesActivity,Mouse/trackpad,Touchpad gestures
com.android.launcher3.settings.KeyboardPreferenceActivity,com.android.launcher3.settings.KeyboardPreferenceActivity,Keyboard,Show on-screen keyboard in Samsung DeX
com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Screen lock/unlock
com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Keep screen on while viewing
com.sec.android.app.soundalive.SAControlPanelActivity,com.sec.android.app.soundalive.SAControlPanelActivity,Sound quality and effects,Dolby Atmos for gaming
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.WirelessDebuggingFragment,Developer options,Wireless debugging
com.android.launcher3.settings.TouchPadGesturesActivity,com.android.launcher3.settings.TouchPadGesturesActivity,Touchpad gestures,Tap with 4 fingers
com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Put unused apps to sleep
com.samsung.android.settings.general.GeneralDeviceSettings,com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,General management,Physical keyboard
com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,com.samsung.android.messaging.ui.view.setting.block.BlockNumbersAndMessagesActivity,Block numbers and messages,Caller ID and spam protection
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Privacy and security,Block automatic downloads
com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,Languages and types,MoAKey settings
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Block numbers
com.android.settings.notification.BubbleNotificationSettings,com.android.settings.notification.BubbleNotificationSettings,Bubbles, 
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Always show crash dialog
com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Allow mobile data usage
com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,Motions and gestures,Double tap to turn off screen
com.android.settings.inputmethod.VirtualKeyboardFragment,com.android.settings.inputmethod.VirtualKeyboardFragment,Keyboard list and default,Show button to hide keyboard
com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Power saving mode,Turn off Always On Display
com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Highlight buttons
com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,Messages settings,Block numbers and messages
com.android.settings.notification.zen.ZenModePeopleSettings,com.android.settings.notification.zen.ZenModePeopleSettings,"Calls, messages, and conversations",Conversations
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Samsung DeX
com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackAdvancedPreferencesActivity,Advanced settings,Privacy policy
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Vibration pattern
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,Call background
com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Privacy Policy
com.samsung.android.settings.deviceinfo.status.SimStatus,com.samsung.android.settings.deviceinfo.status.SimStatus,SIM card status,Mobile data network type
com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Face unlock
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Demo mode
com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Notifications,Notifications to show
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.applications.ProcessStatsSummary,Developer options,Memory
com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Samsung Blockchain Keystore
com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Detect suspicious networks
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Useful features,Quick suggest
com.samsung.android.settings.connection.tether.SecTetherSettings,com.samsung.android.settings.connection.tether.SecTetherSettings,Mobile Hotspot and Tethering,Can’t tether or use portable hotspots while Data Saver is on
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Mode
com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.spacebar.TouchAndHoldSpaceBarSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.touchandhold.spacebar.TouchAndHoldSpaceBarSettings,Keyboard touch and hold delay,Cursor control
com.android.settings.privacy.PrivacyDashboardFragment,com.android.settings.privacy.PrivacyDashboardFragment,Privacy,Accessibility special access
com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.datetime.DateTimeSettings,General management,Date and time
com.android.launcher3.settings.MouseTrackpadPreferenceActivity,com.android.launcher3.settings.MouseTrackpadPreferenceActivity,Mouse/trackpad,Show touchpad when DeX runs
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,Call settings,About Phone
com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Call waiting tone
com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.OtherSecuritySettings,Other security settings,Clear credentials
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Play tone when call connects
com.samsung.android.settings.display.SecDarkModeSettingsFragment,com.samsung.android.settings.display.SecDarkModeSettingsFragment,Dark mode settings,End time
com.samsung.android.honeyboard.settings.styleandlayout.layout.KeyboardLayoutSettings,com.samsung.android.honeyboard.settings.styleandlayout.layout.KeyboardLayoutSettings,Layout,Alternative characters
com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Fingerprints
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Theme
com.samsung.android.settings.activekey.ActiveKeySettings,com.samsung.android.settings.activekey.ActiveKeyAppGridView,Active key,Press
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Tips for using your S Pen
com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Fingerprints,Tap to show icon when screen off
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Alert style
com.samsung.android.settings.development.performance.PerfTuneDashboard,com.samsung.android.settings.development.performance.PerfTuneDashboard,Performance Tune,CPU/GPU Performance Tune
com.samsung.android.settings.navigationbar.NavigationBarSettings,com.samsung.android.settings.navigationbar.NavigationBarGestureDetailedSettings,Navigation bar,Swipe gestures
com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,About unlocking with biometrics
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Notification vibration pattern
com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.applications.specialaccess.pictureinpicture.PictureInPictureSettings,Special access,Picture-in-picture
com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.MainSettingActivity,Messages settings,About Messages
com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.DefaultVoiceInputPicker,Device assistance app,Voice input
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Japanese input options
com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Sound
com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackVerbosityPreferencesActivity,Verbosity,Speak phonetic letters
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Sound quality and effects
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Internet settings,Search engine
com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Open TalkBack in the Galaxy Store
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Wireless display certification
com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackHelpPreferencesActivity,Tutorial and help,Practice gestures
com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Media
com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.ManageAssist,Device assistance app,Analyze on-screen text
com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,com.samsung.android.settings.notification.SecSoundSystemFeedbackSettings,System sound/vibration control,Emergency tone
com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODAboutSetting,Always On Display,About Always On Display
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Animator duration scale
com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Tap to show for 10 seconds
com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,More typing options,Multilanguage text prediction
com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.biometrics.fingerprint.FingerprintEntry,Biometrics and security,Fingerprints
com.samsung.android.settings.accessories.DockSettings,com.samsung.android.settings.accessories.DockSettings,Accessories,User manual
com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Bixby Vision for accessibility
com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,Mouse and trackpad,Pointer speed
com.samsung.android.honeyboard.settings.chineseinputoptions.FuzzyPinyinSettings,com.samsung.android.honeyboard.settings.chineseinputoptions.FuzzyPinyinSettings,Fuzzy pinyin input,eng = en
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Show pointer when hovering
com.samsung.accessibility.assistantmenu.settings.AssistantMenuSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuSettingsActivity,Assistant menu,Select apps to show contextual menus with
com.samsung.android.settings.accessories.DockSettings,com.samsung.android.settings.accessories.DockSettings,Accessories,LED Cover
com.samsung.android.sm.battery.ui.BatteryActivity,com.samsung.android.sm.powershare.PowerShareDetailActivity,Battery,Wireless power sharing
com.samsung.android.settings.general.GeneralDeviceSettings,com.android.settings.inputmethod.VirtualKeyboardFragment,General management,Virtual keyboard for work
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Add account
com.android.settings.LegalSettings,com.android.settings.LegalSettings,Legal information,Samsung legal document versions
com.samsung.android.settings.security.OtherSecuritySettings,com.samsung.android.settings.security.DeviceIdSettings,Other security settings,Device ID
com.samsung.android.app.cocktailbarservice.cocktailsettings.EdgeScreenSettingsMain,com.samsung.android.app.cocktailbarservice.cocktailsettings.HandleSettings,Handle,Size
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Simulate secondary displays
com.android.settings.applications.assist.ManageAssist,com.android.settings.applications.assist.ManageAssist,Device assistance app,Vibration
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,Other call settings,Swipe to call or text
com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseAdditionalFirstButtonFragment,Mouse and trackpad,Additional button 1
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Work profile
com.samsung.accessibility.advanced.flashnotification.FlashNotificationPreferenceFragment,com.samsung.accessibility.Activities$FlashNotificationActivity,Flash notification,Camera flash notification
com.samsung.android.settings.DomesticSettings,com.samsung.android.settings.DomesticSettings,Service provider,KT 플레이 게임
com.samsung.android.sm.battery.ui.BatteryAdvancedMenuActivity,com.samsung.android.sm.battery.ui.BatteryAdvancedMenuActivity,More battery settings,Fast charging
com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,com.samsung.android.honeyboard.settings.languagesandtypes.ui.LanguagesAndTypesActivity,Languages and types,Manage input languages
com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,More settings,Multimedia messages
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Show completed reminders
com.samsung.android.app.calendar.activity.ReminderSettingsActivity,com.samsung.android.app.calendar.activity.ReminderSettingsActivity,Alert settings,Contacts' birthdays
com.samsung.android.messaging.ui.view.setting.MainSettingActivity,com.samsung.android.messaging.ui.view.setting.more.MoreSettingActivity,Messages settings,More settings
com.samsung.android.settings.inputmethod.MouseAndTrackpadSettings,com.samsung.android.settings.inputmethod.MouseSecondaryButtonFragment,Mouse and trackpad,Secondary button
com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Show always
com.samsung.android.settings.account.CloudAccountSettings,com.samsung.android.settings.account.CloudAccountSettings,Accounts and backup,My Profile
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Manufacturer
com.android.launcher3.settings.DesktopSettingsActivity,com.android.launcher3.settings.KeyboardPreferenceActivity,Samsung DeX,Keyboard
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Alert settings
com.samsung.android.samsungaccount.setting.ui.SettingSecurityPreference,com.samsung.android.samsungaccount.setting.ui.SettingSecurityPreference,Security settings,Password
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SoundSettings,Sounds and vibration,Vibrate while ringing
com.samsung.android.honeyboard.settings.directwriting.DirectWritingSettings,com.samsung.android.honeyboard.settings.directwriting.DirectWritingSettings,S Pen to text,Show writing toolbar
com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionMethodSettings,com.samsung.android.honeyboard.settings.smarttyping.sticker.StickerSuggestionMethodSettings,Sticker suggestion method,Show in predictive text area
com.samsung.accessibility.advanced.UsefulSettings,com.samsung.accessibility.Activities$UsefulSettingsActivity,Advanced settings,Accessibility button
com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Left/right sound balance
com.android.settings.deviceinfo.aboutphone.MyDeviceInfoFragment,com.android.settings.LegalSettings,About phone,Legal information
com.android.settings.deviceinfo.aboutphone.MyDeviceInfoFragment,com.samsung.android.settings.deviceinfo.ServiceInfoSettings,About phone,Service information
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,More typing options
com.samsung.android.service.aircommand.settings.SPenSettingActivity,com.samsung.android.service.aircommand.settings.SPenSettingActivity,S Pen,Removal
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth MAP network type
com.android.settings.notification.zen.ZenModeSettings,com.android.settings.notification.zen.ZenModeBlockedEffectsSettings,Do not disturb,Hide notifications
com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Trash
com.samsung.accessibility.assistantmenu.settings.AssistantMenuSettingsFragment,com.samsung.accessibility.assistantmenu.Activities$AssistantMenuSettingsActivity,Assistant menu,Transparency
com.samsung.android.settings.notification.SoundSettings,com.samsung.android.settings.notification.SecVolumeSettings,Sounds and vibration,Volume
com.samsung.android.settings.notification.SecVolumeLimiterSettings,com.samsung.android.settings.notification.SecVolumeLimiterSettings,Media volume limit,Set volume limit PIN
com.samsung.android.accessibility.talkback.preference.TalkBackSoundAndVibrationPreferencesActivity,com.samsung.android.accessibility.talkback.preference.TalkBackSoundAndVibrationPreferencesActivity,Sound and vibration,Sound feedback
com.samsung.accessibility.hearing.AccessibilitySettingsHearing,com.samsung.accessibility.Activities$AccessibilitySettingsHearingActivity,Hearing enhancements,Live transcribe
com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,com.samsung.android.honeyboard.settings.smarttyping.moretypingoptions.MoreTypingOptionsSettings,More typing options,Toggle input
com.android.settings.DisplaySettings,com.samsung.android.settings.display.FrontScreenAppsFragment,Display,Continue apps on cover screen
com.samsung.android.settings.security.DeviceIdSettings,com.samsung.android.settings.security.DeviceIdSettings,Device ID,Allow using device ID
com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackPreferencesActivity,TalkBack Settings,Speak passwords
com.samsung.android.app.cocktailbarservice.cocktailsettings.EdgeScreenSettingsMain,com.samsung.android.app.cocktailbarservice.cocktailsettings.HandleSettings,Handle,Vibrate when handle is touched
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Provide location information
com.android.settings.users.UserSettings,com.android.settings.users.UserSettings,Users,"Share your phone by adding new users. Each user has a personal space on your phone for custom Home screens, accounts, apps, settings, and more."
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.compat.PlatformCompatDashboard,Developer options,App compatibility changes
com.android.settings.development.WirelessDebuggingFragment,com.android.settings.development.WirelessDebuggingFragment,Wireless debugging,Pair device with QR code
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.status.CeWeeeMarksFragment,Status information,CE and WEEE marks
com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Screen zoom
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth RVP for call audio
com.android.homescreen.settings.HomeScreenSettingsActivity,com.android.homescreen.settings.HomeScreenSettingsActivity,Home screen settings,Rotate to landscape mode
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Appearance,Request desktop sites
com.samsung.android.settings.connection.ConnectionsSettings,com.samsung.android.settings.connection.ConnectionsSettings,Connections,SIM card manager
com.samsung.android.settings.display.SecDarkModeSettingsFragment,com.samsung.android.settings.display.SecDarkModeSettingsFragment,Dark mode settings,Adaptive color filter
com.android.launcher3.settings.usedex.HowToUseDex,com.android.launcher3.settings.usedex.AdjustScreen,How to use Samsung DeX,Adjust the screen
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Call alerts and ringtone,Call alerts and ringtone,Vibrate when call ends
