_id,table_name,name,type_name,default_value,is_nullable,is_primary,is_autoincrement,is_deleted,is_added,foreign_table,foreign_column,on_foreign_key_update,on_foreign_key_delete
1095,threads,pic,TEXT,,1,0,0,0,0,,,,
1096,threads,can_reply_to,INTEGER,,1,0,0,0,0,,,,
1097,threads,cannot_reply_reason,TEXT,,1,0,0,0,0,,,,
1098,threads,last_message_admin_text_type,TEXT,,1,0,0,0,0,,,,
1099,threads,mute_until,INTEGER,,1,0,0,0,0,,,,
1100,threads,is_subscribed,INTEGER,,1,0,0,0,0,,,,
1101,threads,folder,TEXT,,1,0,0,0,0,,,,
1102,threads,draft,TEXT,,1,0,0,0,0,,,,
1103,threads,missed_call_status,INTEGER,,1,0,0,0,0,,,,
1104,threads,initial_fetch_complete,INTEGER,,1,0,0,0,0,,,,
1105,threads,custom_like_emoji,TEXT,,1,0,0,0,0,,,,
1106,threads,outgoing_message_lifetime,INTEGER,,1,0,0,0,0,,,,
1107,threads,custom_nicknames,TEXT,,1,0,0,0,0,,,,
1108,threads,invite_uri,TEXT,,1,0,0,0,0,,,,
1109,threads,last_message_id_if_sponsored,TEXT,,1,0,0,0,0,,,,
1110,threads,group_chat_rank,REAL,,1,0,0,0,0,,,,
1111,threads,is_joinable,INTEGER,0,1,0,0,0,0,,,,
1112,threads,requires_approval,INTEGER,0,1,0,0,0,0,,,,
1113,threads,rtc_call_info,TEXT,,1,0,0,0,0,,,,
1114,threads,rtc_room_info,TEXT,,1,0,0,0,1,,,,
1115,threads,last_message_commerce_message_type,TEXT,,1,0,0,0,0,,,,
1116,threads,is_thread_queue_enabled,INTEGER,,1,0,0,0,0,,,,
1117,threads,group_description,TEXT,,1,0,0,0,0,,,,
1118,threads,media_preview,TEXT,,1,0,0,0,0,,,,
1119,threads,booking_requests,TEXT,,1,0,0,0,0,,,,
1120,threads,last_call_ms,INTEGER,,1,0,0,0,0,,,,
1121,threads,is_discoverable,INTEGER,,1,0,0,0,0,,,,
1122,threads,last_sponsored_message_call_to_action,TEXT,,1,0,0,0,0,,,,
1123,threads,montage_thread_key,TEXT,,1,0,0,0,0,,,,
1124,threads,room_privacy_mode,INTEGER,,1,0,0,0,0,,,,
1125,threads,room_associated_fb_group_id,INTEGER,,1,0,0,0,0,,,,
1126,threads,room_associated_fb_group_name,TEXT,,1,0,0,0,0,,,,
1127,threads,room_associated_photo_uri,TEXT,,1,0,0,0,0,,,,
1128,threads,has_work_multi_company_associated_group,INTEGER,,1,0,0,0,0,,,,
1129,threads,approval_toggleable,INTEGER,,1,0,0,0,0,,,,
1130,threads,video_room_mode,INTEGER,,1,0,0,0,0,,,,
1131,threads,marketplace_data,TEXT,,1,0,0,0,0,,,,
1132,threads,new_friend_bump_data,TEXT,,1,0,0,0,1,,,,
1133,threads,room_creation_time,INTEGER,,1,0,0,0,0,,,,
1134,threads,group_thread_category,TEXT,,1,0,0,0,0,,,,
1135,threads,are_admins_supported,INTEGER,0,1,0,0,0,0,,,,
1136,threads,group_thread_add_mode,TEXT,,1,0,0,0,0,,,,
1137,threads,group_thread_offline_threading_id,INTEGER,,1,0,0,0,0,,,,
1138,threads,personal_group_invite_link,TEXT,,1,0,0,0,0,,,,
1139,threads,optimistic_group_state,INTEGER,0,1,0,0,0,0,,,,
1140,threads,ad_context_data,TEXT,,1,0,0,0,0,,,,
1141,threads,use_existing_group,INTEGER,,1,0,0,0,0,,,,
1142,threads,thread_associated_object_type,TEXT,,1,0,0,0,0,,,,
1143,threads,thread_streak_data,TEXT,,1,0,0,0,0,,,,
1144,threads,games_push_notification_settings,TEXT,,1,0,0,0,0,,,,
1145,threads,can_participants_claim_admin,INTEGER,0,1,0,0,0,0,,,,
1146,threads,group_approval_mode,INTEGER,0,1,0,0,0,0,,,,
1147,threads,synced_fb_group_id,INTEGER,,1,0,0,0,0,,,,
1148,threads,synced_fb_group_status,TEXT,,1,0,0,0,0,,,,
1149,threads,synced_fb_group_is_work_multi_company_group,INTEGER,0,1,0,0,0,0,,,,
1150,threads,video_chat_link,TEXT,,1,0,0,0,0,,,,
1151,threads,theme_id,INTEGER,-1,1,0,0,0,0,,,,
1152,threads,theme_fallback_color,INTEGER,0,1,0,0,0,0,,,,
1153,threads,theme_gradient_colors,TEXT,,1,0,0,0,0,,,,
1154,threads,theme_accessibility_label,TEXT,,1,0,0,0,0,,,,
1155,threads,is_fuss_red_page,INTEGER,0,1,0,0,0,1,,,,
1156,threads,is_disappearing_mode,INTEGER,0,1,0,0,0,1,,,,
1157,threads,vanish_mode_selection_timestamp,INTEGER,-1,1,0,0,0,1,,,,
1158,threads,vanish_mode_selected_mode,INTEGER,0,1,0,0,0,1,,,,
1159,threads,is_thread_pinned,INTEGER,0,1,0,0,0,0,,,,
1160,threads,thread_pin_timestamp,INTEGER,0,1,0,0,0,0,,,,
1161,threads,animated_thread_activity_banner,TEXT,,1,0,0,0,0,,,,
1162,threads,group_associated_fb_group_visibility,TEXT,,1,0,0,0,1,,,,
1163,threads,last_message_breadcrumb_type,TEXT,,1,0,0,0,1,,,,
1164,threads,last_message_breadcrumb_cta,TEXT,,1,0,0,0,1,,,,
1165,threads,thread_connectivity_data,TEXT,,1,0,0,0,1,,,,
1166,threads,unsendability_status,TEXT,,1,0,0,0,1,,,,
1167,threads,work_sync_group_data,TEXT,,1,0,0,0,1,,,,
1168,threads,group_thread_subtype,TEXT,,1,0,0,0,1,,,,
1169,threads,is_page_follow_up,INTEGER,0,1,0,0,0,1,,,,
1170,threads,last_message_id,TEXT,,1,0,0,0,1,,,,
1171,threads,ads_qp_update_data,TEXT,,1,0,0,0,1,,,,
1172,threads,last_message_timestamp_ms,INTEGER,-1,1,0,0,0,1,,,,
1173,threads,job_application_time,INTEGER,-1,1,0,0,0,1,,,,
1174,threads,messenger_request_appointment_data,TEXT,,1,0,0,0,1,,,,
1175,threads,related_page_thread_data,TEXT,,1,0,0,0,1,,,,
1176,threads,thread_message_assigned_page_admin,TEXT,,1,0,0,0,1,,,,
1177,threads,has_non_admin_message,INTEGER,0,1,0,0,0,1,,,,
1178,threads,ad_client_token,TEXT,,1,0,0,0,1,,,,
1179,threads,unsend_limit,INTEGER,,1,0,0,1,1,,,,
1180,threads,message_suggestion,TEXT,,1,0,0,0,1,,,,
1181,threads,unsend_limit_sec,INTEGER,600,1,0,0,1,1,,,,
1182,threads,unbounded_unsend_limit_sec,INTEGER,-1,1,0,0,0,1,,,,
1183,threads,is_ignored_by_viewer,INTEGER,0,1,0,0,0,1,,,,
1184,threads,vanishing_mode_paired_timestamp_ms,INTEGER,-1,1,0,0,0,1,,,,
