packageName,count
com.google.android.libraries.search.googleapp.user#com.google.android.googlequicksearchbox,102
com.google.android.gms.octarine,13
com.google.android.gms.wearable,21
com.google.android.apps.tachyon,56
com.google.android.gms.people,59
com.google.android.gms.nearby,124
com.google.android.gms.googlehelp,35
com.google.android.gms.car,53
com.google.android.gms.wallet,77
com.google.android.gms.ocr,58
__sync,404
com.google.android.googlequicksearchbox,231
