_id,mnoname,apntype,ratpreforder
365,Vodafone_CZ,emergency,LTE
366,Vodafone_CZ,default,LTE
367,Vodafone_CZ,hipri,LTE
368,Vodafone_CZ,supl,LTE
369,Vodafone_CZ,dun,LTE
370,Orange_SK,ims,IWLAN:LTE
371,Orange_SK,mms,IWLAN:LTE
372,Orange_SK,xcap,LTE
373,Orange_SK,cbs,LTE
374,Orange_SK,emergency,IWLAN:LTE
375,Orange_SK,default,LTE
376,Orange_SK,hipri,LTE
377,Orange_SK,supl,LTE
378,Orange_SK,dun,LTE
379,Telefonica_SK,ims,IWLAN:LTE
380,Telefonica_SK,mms,IWLAN:LTE
381,Telefonica_SK,xcap,IWLAN:LTE
382,Telefonica_SK,cbs,LTE
383,Telefonica_SK,emergency,IWLAN:LTE
384,Telefonica_SK,default,LTE
385,Telefonica_SK,hipri,LTE
386,Telefonica_SK,supl,LTE
387,Telefonica_SK,dun,LTE
388,TMobile_SK,ims,IWLAN:LTE
389,TMobile_SK,mms,IWLAN:LTE
390,TMobile_SK,xcap,IWLAN:LTE
391,TMobile_SK,cbs,LTE
392,TMobile_SK,emergency,LTE
393,TMobile_SK,default,LTE
394,TMobile_SK,hipri,LTE
395,TMobile_SK,supl,LTE
396,TMobile_SK,dun,LTE
397,A1_AT,ims,IWLAN:LTE
398,A1_AT,mms,LTE
399,A1_AT,xcap,LTE
400,A1_AT,cbs,LTE
401,A1_AT,emergency,LTE
402,A1_AT,default,LTE
403,A1_AT,hipri,LTE
404,A1_AT,supl,LTE
405,A1_AT,dun,LTE
406,3_AT,ims,LTE:IWLAN
407,3_AT,mms,LTE:IWLAN
408,3_AT,xcap,LTE:IWLAN
409,3_AT,cbs,LTE:IWLAN
410,3_AT,emergency,LTE
411,3_AT,default,LTE
412,3_AT,hipri,LTE
413,3_AT,supl,LTE
414,3_AT,dun,LTE
415,Telefonica_GB,ims,LTE:IWLAN
416,Telefonica_GB,mms,LTE
417,Telefonica_GB,xcap,LTE:IWLAN
418,Telefonica_GB,cbs,LTE
419,Telefonica_GB,emergency,LTE
420,Telefonica_GB,default,LTE
421,Telefonica_GB,hipri,LTE
422,Telefonica_GB,supl,LTE
423,Telefonica_GB,dun,LTE
424,TelefonicaLAB_GB,ims,LTE:IWLAN
425,TelefonicaLAB_GB,mms,LTE
426,TelefonicaLAB_GB,xcap,LTE:IWLAN
427,TelefonicaLAB_GB,cbs,LTE
428,TelefonicaLAB_GB,emergency,LTE
429,TelefonicaLAB_GB,default,LTE
430,TelefonicaLAB_GB,hipri,LTE
431,TelefonicaLAB_GB,supl,LTE
432,TelefonicaLAB_GB,dun,LTE
433,Vodafone_GB,ims,LTE:IWLAN
434,Vodafone_GB,mms,LTE
435,Vodafone_GB,xcap,LTE:IWLAN
436,Vodafone_GB,cbs,LTE
437,Vodafone_GB,emergency,IWLAN
438,Vodafone_GB,default,LTE
439,Vodafone_GB,hipri,LTE
440,Vodafone_GB,supl,LTE
441,Vodafone_GB,dun,LTE
442,Hutchison_GB,ims,LTE:IWLAN
443,Hutchison_GB,mms,LTE:IWLAN
444,Hutchison_GB,xcap,LTE:IWLAN
445,Hutchison_GB,cbs,LTE
446,Hutchison_GB,emergency,LTE:IWLAN
447,Hutchison_GB,default,LTE
448,Hutchison_GB,hipri,LTE
449,Hutchison_GB,supl,LTE
450,Hutchison_GB,dun,LTE
451,EE_GB,ims,LTE:IWLAN
452,EE_GB,mms,LTE:IWLAN
453,EE_GB,xcap,LTE:IWLAN
454,EE_GB,cbs,LTE
455,EE_GB,emergency,LTE:IWLAN
456,EE_GB,default,LTE
457,EE_GB,hipri,LTE
458,EE_GB,supl,LTE
459,EE_GB,dun,LTE
460,EEESN_GB,ims,LTE:IWLAN
461,EEESN_GB,mms,LTE:IWLAN
462,EEESN_GB,xcap,LTE
463,EEESN_GB,cbs,LTE
464,EEESN_GB,emergency,LTE:IWLAN
465,EEESN_GB,default,LTE
466,EEESN_GB,hipri,LTE
467,EEESN_GB,supl,LTE
468,EEESN_GB,dun,LTE
469,Virgin_GB,ims,IWLAN:LTE
470,Virgin_GB,mms,LTE
471,Virgin_GB,xcap,IWLAN:LTE
472,Virgin_GB,cbs,LTE
473,Virgin_GB,emergency,IWLAN
474,Virgin_GB,default,LTE
475,Virgin_GB,hipri,LTE
476,Virgin_GB,supl,LTE
477,Virgin_GB,dun,LTE
478,BTOP_GB,ims,LTE:IWLAN
479,BTOP_GB,mms,LTE:IWLAN
480,BTOP_GB,xcap,LTE:IWLAN
481,BTOP_GB,cbs,LTE
482,BTOP_GB,emergency,LTE:IWLAN
483,BTOP_GB,default,LTE
484,BTOP_GB,hipri,LTE
485,BTOP_GB,supl,LTE
486,BTOP_GB,dun,LTE
487,Sky_GB,ims,IWLAN:LTE
488,Sky_GB,mms,IWLAN:LTE
489,Sky_GB,xcap,IWLAN:LTE
490,Sky_GB,cbs,LTE
491,Sky_GB,emergency,LTE
492,Sky_GB,default,LTE
493,Sky_GB,hipri,LTE
494,Sky_GB,supl,LTE
495,Sky_GB,dun,LTE
496,TDC_DK,ims,LTE:IWLAN
497,TDC_DK,mms,LTE
498,TDC_DK,xcap,LTE:IWLAN
499,TDC_DK,cbs,LTE
500,TDC_DK,emergency,LTE:IWLAN
501,TDC_DK,default,LTE
502,TDC_DK,hipri,LTE
503,TDC_DK,supl,LTE
504,TDC_DK,dun,LTE
505,Telenor_DK,ims,LTE:IWLAN
506,Telenor_DK,mms,LTE:IWLAN
507,Telenor_DK,xcap,LTE:IWLAN
508,Telenor_DK,cbs,LTE
509,Telenor_DK,emergency,LTE
510,Telenor_DK,default,LTE
511,Telenor_DK,hipri,LTE
512,Telenor_DK,supl,LTE
513,Telenor_DK,dun,LTE
514,3_DK,ims,LTE:IWLAN
515,3_DK,mms,LTE:IWLAN
516,3_DK,xcap,LTE:IWLAN
517,3_DK,cbs,LTE
518,3_DK,emergency,LTE:IWLAN
519,3_DK,default,LTE
520,3_DK,hipri,LTE
521,3_DK,supl,LTE
522,3_DK,dun,LTE
523,Telia_DK,ims,LTE:IWLAN
524,Telia_DK,mms,LTE:IWLAN
525,Telia_DK,xcap,LTE:IWLAN
526,Telia_DK,cbs,LTE
527,Telia_DK,emergency,LTE:IWLAN
528,Telia_DK,default,LTE
529,Telia_DK,hipri,LTE
530,Telia_DK,supl,LTE
531,Telia_DK,dun,LTE
532,Telia_DK:MVNO,ims,LTE:IWLAN
533,Telia_DK:MVNO,mms,LTE:IWLAN
534,Telia_DK:MVNO,xcap,LTE:IWLAN
535,Telia_DK:MVNO,cbs,LTE
536,Telia_DK:MVNO,emergency,LTE:IWLAN
537,Telia_DK:MVNO,default,LTE
538,Telia_DK:MVNO,hipri,LTE
539,Telia_DK:MVNO,supl,LTE
540,Telia_DK:MVNO,dun,LTE
541,Telia_SE,ims,LTE:IWLAN
542,Telia_SE,mms,LTE:IWLAN
543,Telia_SE,xcap,LTE:IWLAN
544,Telia_SE,cbs,LTE
545,Telia_SE,emergency,LTE:IWLAN
546,Telia_SE,default,LTE
547,Telia_SE,hipri,LTE
548,Telia_SE,supl,LTE
549,Telia_SE,dun,LTE
550,3_SE,ims,LTE:IWLAN
551,3_SE,mms,LTE:IWLAN
552,3_SE,xcap,LTE:IWLAN
553,3_SE,cbs,LTE
554,3_SE,emergency,LTE:IWLAN
555,3_SE,default,LTE
556,3_SE,hipri,LTE
557,3_SE,supl,LTE
558,3_SE,dun,LTE
559,Telenor_SE,ims,IWLAN:LTE
560,Telenor_SE,mms,IWLAN:LTE
561,Telenor_SE,xcap,LTE
562,Telenor_SE,cbs,LTE
563,Telenor_SE,emergency,LTE
564,Telenor_SE,default,LTE
565,Telenor_SE,hipri,LTE
566,Telenor_SE,supl,LTE
567,Telenor_SE,dun,LTE
568,Tele2_SE,ims,LTE:IWLAN
569,Tele2_SE,mms,LTE
570,Tele2_SE,xcap,LTE
571,Tele2_SE,cbs,LTE
572,Tele2_SE,emergency,LTE:IWLAN
573,Tele2_SE,default,LTE
574,Tele2_SE,hipri,LTE
575,Tele2_SE,supl,LTE
576,Tele2_SE,dun,LTE
577,Telenor_NO,ims,IWLAN:LTE
578,Telenor_NO,mms,IWLAN:LTE
579,Telenor_NO,xcap,IWLAN:LTE
580,Telenor_NO,cbs,LTE
581,Telenor_NO,emergency,LTE:IWLAN
582,Telenor_NO,default,LTE
583,Telenor_NO,hipri,LTE
584,Telenor_NO,supl,LTE
585,Telenor_NO,dun,LTE
586,IceNet_NO,ims,IWLAN:LTE
587,IceNet_NO,mms,IWLAN:LTE
588,IceNet_NO,xcap,LTE
589,IceNet_NO,cbs,LTE
590,IceNet_NO,emergency,IWLAN:LTE
591,IceNet_NO,default,LTE
592,IceNet_NO,hipri,LTE
593,IceNet_NO,supl,LTE
594,IceNet_NO,dun,LTE
595,Telia_NO,ims,LTE:IWLAN
596,Telia_NO,mms,LTE:IWLAN
597,Telia_NO,xcap,LTE:IWLAN
598,Telia_NO,cbs,LTE
599,Telia_NO,emergency,LTE:IWLAN
600,Telia_NO,default,LTE
601,Telia_NO,hipri,LTE
602,Telia_NO,supl,LTE
603,Telia_NO,dun,LTE
604,Elisa_FI,ims,IWLAN:LTE
605,Elisa_FI,mms,LTE
