_id,package,class,name
353,com.sec.android.app.camera,,take a photograph
354,com.sec.android.app.camera,,take a pic
355,com.sec.android.app.camera,,take a pics
356,com.sec.android.app.camera,,take a picture
357,com.sec.android.app.camera,,take a picture of that
358,com.sec.android.app.camera,,take a pictures
359,com.sec.android.app.camera,,take a shot
360,com.sec.android.app.camera,,take a snapshot
361,com.sec.android.app.camera,,take a video
362,com.sec.android.app.camera,,take me a picture
363,com.sec.android.app.camera,,take photo
364,com.sec.android.app.camera,,take photograph
365,com.sec.android.app.camera,,take photographs
366,com.sec.android.app.camera,,take photos
367,com.sec.android.app.camera,,take pics
368,com.sec.android.app.camera,,take picture
369,com.sec.android.app.camera,,take pictures
370,com.sec.android.app.camera,,take shot
371,com.sec.android.app.camera,,take shots
372,com.sec.android.app.camera,,take snapshot
373,com.sec.android.app.camera,,take some photographs
374,com.sec.android.app.camera,,take some photos
375,com.sec.android.app.camera,,take some pictures
376,com.sec.android.app.camera,,take some pictures of that
377,com.sec.android.app.camera,,take some shots
378,com.sec.android.app.camera,,take some video
379,com.sec.android.app.camera,,take the photo
380,com.sec.android.app.camera,,take the photograph
381,com.sec.android.app.camera,,take the picture
382,com.sec.android.app.camera,,take the shot
383,com.sec.android.app.camera,,take video
384,com.android.settings,com.android.settings.Settings,ajustes
385,com.android.settings,com.android.settings.Settings,android option
386,com.android.settings,com.android.settings.Settings,android options
387,com.android.settings,com.android.settings.Settings,android setting
388,com.android.settings,com.android.settings.Settings,android settings
389,com.android.settings,com.android.settings.Settings,call setting
390,com.android.settings,com.android.settings.Settings,call settings
391,com.android.settings,com.android.settings.Settings,config
392,com.android.settings,com.android.settings.Settings,config.
393,com.android.settings,com.android.settings.Settings,impostazioni
394,com.android.settings,com.android.settings.Settings,my android option
395,com.android.settings,com.android.settings.Settings,my android options
396,com.android.settings,com.android.settings.Settings,my android setting
397,com.android.settings,com.android.settings.Settings,my android settings
398,com.android.settings,com.android.settings.Settings,my option
399,com.android.settings,com.android.settings.Settings,my options
400,com.android.settings,com.android.settings.Settings,my setting
401,com.android.settings,com.android.settings.Settings,my settings
402,com.android.settings,com.android.settings.Settings,option
403,com.android.settings,com.android.settings.Settings,options
404,com.android.settings,com.android.settings.Settings,phone settings
405,com.android.settings,com.android.settings.Settings,preferences
406,com.android.settings,com.android.settings.Settings,setting
407,com.android.settings,com.android.settings.Settings,settings
408,com.android.settings,com.android.settings.Settings,the android option
409,com.android.settings,com.android.settings.Settings,the android options
410,com.android.settings,com.android.settings.Settings,the android setting
411,com.android.settings,com.android.settings.Settings,the android settings
412,com.android.settings,com.android.settings.Settings,the option
413,com.android.settings,com.android.settings.Settings,the options
414,com.android.settings,com.android.settings.Settings,the setting
415,com.android.settings,com.android.settings.Settings,the settings
416,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,4g mobile hotspot
417,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,mobile hotspot
418,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,portable wi-fi hotspot
419,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,sprint hotspot
420,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,tethering and portable hotspot
421,com.android.settings,com.android.settings.Settings$WifiApSettingsActivity,zona móvil
422,com.samsung.helphub,,ajuda
423,com.samsung.helphub,,ayuda
424,com.samsung.helphub,,guida
425,com.samsung.helphub,,help
426,com.samsung.helphub,,hilfe
427,com.google.android.videos,,movie
428,com.google.android.videos,,movie application
429,com.google.android.videos,,movies
430,com.google.android.videos,,movies application
431,com.google.android.videos,,play filmes
432,com.google.android.videos,,play movies
433,com.google.android.videos,,play movies & tv
434,com.google.android.videos,,play movies and tv
435,com.google.android.youtube,,watch some videos on youtube
436,com.google.android.youtube,,watch some youtube videos
437,com.google.android.youtube,,you tube
438,com.google.android.youtube,,you tube application
439,com.google.android.youtube,,youtube
440,com.google.android.youtube,,youtube application
441,com.android.vending,,android app store
442,com.android.vending,,android market
443,com.android.vending,,android market application
444,com.android.vending,,app store
445,com.android.vending,,application store
446,com.android.vending,,applications store
447,com.android.vending,,apps store
448,com.android.vending,,buy new apps
449,com.android.vending,,buy some new apps
450,com.android.vending,,download apps
451,com.android.vending,,google app store
452,com.android.vending,,google market
453,com.android.vending,,google marketplace
454,com.android.vending,,google play
455,com.android.vending,,google play store
456,com.android.vending,,market
457,com.android.vending,,market application
458,com.android.vending,,marketplace
459,com.android.vending,,my android market
460,com.android.vending,,play store
461,com.android.vending,,store
462,com.android.vending,,the android market
463,com.amazon.mShop.android,,amazon
464,com.google.android.apps.books,,play books
465,com.google.android.apps.books,,play livros
466,com.sec.android.app.popupcalculator,,adder
467,com.sec.android.app.popupcalculator,,calc
468,com.sec.android.app.popupcalculator,,calc application
469,com.sec.android.app.popupcalculator,,calculadora
470,com.sec.android.app.popupcalculator,,calculater
471,com.sec.android.app.popupcalculator,,calculater application
472,com.sec.android.app.popupcalculator,,calculator
473,com.sec.android.app.popupcalculator,,calculator application
474,com.sec.android.app.popupcalculator,,calculators
475,com.sec.android.app.popupcalculator,,math
476,com.sec.android.app.popupcalculator,,rechner
477,com.sec.android.app.popupcalculator,,the calculator
478,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox.SearchActivity,google
479,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox.SearchActivity,ricerca
480,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox.SearchActivity,search
481,com.amazon.kindlefs,,amazon kindle
482,com.samsung.android.video,,film player
483,com.samsung.android.video,,film viewer
484,com.samsung.android.video,,films
485,com.samsung.android.video,,movie player
486,com.samsung.android.video,,movie viewer
487,com.samsung.android.video,,my phone videos
488,com.samsung.android.video,,my video
489,com.samsung.android.video,,my videos
490,com.samsung.android.video,,phone videos
491,com.samsung.android.video,,video
492,com.samsung.android.video,,video app
493,com.samsung.android.video,,video application
494,com.samsung.android.video,,video list
495,com.samsung.android.video,,video player
496,com.samsung.android.video,,video store
497,com.samsung.android.video,,video viewer
498,com.samsung.android.video,,videos
499,com.samsung.android.video,,videos app
500,com.samsung.android.video,,videos application
501,com.samsung.android.video,,videos player
502,com.samsung.android.video,,videos viewer
503,com.samsung.android.video,,vídeo
504,com.samsung.android.video,,watch a video
505,com.sprint.voicemail,,audio message
506,com.sprint.voicemail,,audio messages
507,com.sprint.voicemail,,voice mail
508,com.sprint.voicemail,,voice message
509,com.sprint.voicemail,,voice messages
510,com.sprint.voicemail,,voicemail
511,com.sec.android.app.voicenote,,dictaphone
512,com.sec.android.app.voicenote,,microphone
513,com.sec.android.app.voicenote,,record audio
514,com.sec.android.app.voicenote,,record me
515,com.sec.android.app.voicenote,,record memo
516,com.sec.android.app.voicenote,,record notes
517,com.sec.android.app.voicenote,,record sound
518,com.sec.android.app.voicenote,,record voice
519,com.sec.android.app.voicenote,,recorder
520,com.sec.android.app.voicenote,,recorder application
521,com.sec.android.app.voicenote,,recording
522,com.sec.android.app.voicenote,,sound recorder
523,com.sec.android.app.voicenote,,sound recording
524,com.sec.android.app.voicenote,,speech recorder
525,com.sec.android.app.voicenote,,the recorder
526,com.sec.android.app.voicenote,,the recorder application
527,com.sec.android.app.voicenote,,the voice recorder
528,com.sec.android.app.voicenote,,the voice recorder application
529,com.sec.android.app.voicenote,,voice pad
530,com.sec.android.app.voicenote,,voice recorder
531,com.sec.android.app.voicenote,,voice recorder application
532,com.sec.android.app.voicenote,,voice recording
533,com.sec.android.app.myfiles,,file
534,com.sec.android.app.myfiles,,file application
535,com.sec.android.app.myfiles,,file list
536,com.sec.android.app.myfiles,,file manager
537,com.sec.android.app.myfiles,,file manager application
538,com.sec.android.app.myfiles,,files
539,com.sec.android.app.myfiles,,files application
540,com.sec.android.app.myfiles,,files manager
541,com.sec.android.app.myfiles,,files manager application
542,com.sec.android.app.myfiles,,folders
543,com.sec.android.app.myfiles,,my files
544,com.vlingo.android.tools.explorer,,device explorer
545,com.android.development,,dev tools
546,com.android.development,,devtools
547,kt.navi,,olleh navi
548,com.kt.olleh.storefront,,olleh market
549,com.samsung.android.app.memo,,jot memo
550,com.samsung.android.app.memo,,jot note
551,com.samsung.android.app.memo,,memo
552,com.samsung.android.app.memo,,memo application
553,com.samsung.android.app.memo,,memo book
554,com.samsung.android.app.memo,,memo memo
555,com.samsung.android.app.memo,,memo pad
556,com.samsung.android.app.memo,,memo pad application
557,com.samsung.android.app.memo,,memopad
558,com.samsung.android.app.memo,,memopad application
559,com.samsung.android.app.memo,,memos
560,com.samsung.android.app.memo,,memos application
561,com.samsung.android.app.memo,,nota s
562,com.samsung.android.app.memo,,note
563,com.samsung.android.app.memo,,note book
564,com.samsung.android.app.memo,,note pad
