_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
203,6,0,1629652222280,1621876222280,1395791142147526657,b'1',1
204,5,0,1629652234670,1621876234670,1396226396289048576,b'I0\t\x08\x02j\x137827646093812322263X',27
205,5,0,1629652244393,1621876244393,1395768108917432322,b'I0\t\x08\x02j\x137827646093812322253X',27
206,5,0,1629652244395,1621876244395,1395768457082376204,b'I0\t\x08\x02j\x137827646093812322253X',27
207,6,0,1629652234673,1621876234673,1396226396289048576,b'1',1
208,6,0,1629652244396,1621876244396,1395768108917432322,b'1',1
209,6,0,1629652244397,1621876244397,1395768457082376204,b'1',1
210,5,0,1629652226988,1621876226988,1395794299451846659,b'I0\t\x08\x02j\x137827646093812322283X',27
211,6,0,1629652226991,1621876226991,1395794299451846659,b'1',1
212,5,0,1629652233055,1621876233055,1395752641964163072,b'I0\t\x08\x02j\x137827646093812322273X',27
213,5,0,1629652233059,1621876233059,1395920505430024197,b'I0\t\x08\x02j\x137827646093812322263X',27
214,6,0,1629652233060,1621876233060,1395752641964163072,b'1',1
215,6,0,1629652233063,1621876233063,1395920505430024197,b'1',1
216,5,0,1629652246390,1621876246390,1395777438475501570,b'I0\t\x08\x02j\x137827646093812322243X',27
217,6,0,1629652246401,1621876246401,1395777438475501570,b'1',1
218,5,0,1629652247088,1621876247088,1395777774481285127,b'I0\t\x08\x02j\x137827646093812322243X',27
219,6,0,1629652247091,1621876247091,1395777774481285127,b'1',1
220,5,0,1629652247640,1621876247640,1396173056691875842,b'I0\t\x08\x02j\x137827646093812322233X',27
221,6,0,1629652247644,1621876247644,1396173056691875842,b'1',1
222,5,0,1629652249015,1621876249015,1395851131088162820,b'I0\t\x08\x02j\x137827646093812322193X',27
223,6,0,1629652249016,1621876249016,1395851131088162820,b'1',1
232,5,0,1629652283609,1621876283609,1396147261982199810,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137827224774872575997X',34
233,6,0,1629652283611,1621876283611,1396147261982199810,b'1',1
241,5,0,1629822592957,1622046592957,1397369963682410501,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137826002073172365306X',34
242,6,0,1629822592960,1622046592960,1397369963682410501,b'1',1
